	TARA_112_DCM_0.8_5.0	TARA_097_DCM_0.8_5.0	TARA_096_DCM_0.8_5.0	TARA_151_DCM_0.8_5.0	TARA_142_DCM_0.8_5.0	TARA_006_DCM_0.8_5.0	TARA_066_DCM_0.8_5.0	TARA_051_DCM_0.8_5.0	TARA_132_DCM_0.8_5.0	TARA_086_DCM_0.8_5.0	TARA_034_DCM_0.8_5.0	TARA_058_DCM_0.8_5.0	TARA_080_DCM_0.8_5.0	TARA_102_DCM_0.8_5.0	TARA_128_DCM_0.8_5.0	TARA_032_DCM_0.8_5.0	TARA_106_DCM_0.8_5.0	TARA_025_DCM_0.8_5.0	TARA_122_DCM_0.8_5.0	TARA_111_DCM_0.8_5.0	TARA_110_DCM_0.8_5.0	TARA_109_DCM_0.8_5.0	TARA_138_DCM_0.8_5.0	TARA_004_DCM_0.8_5.0	TARA_135_DCM_0.8_5.0	TARA_009_DCM_0.8_5.0	TARA_016_DCM_0.8_5.0	TARA_042_DCM_0.8_5.0	TARA_072_DCM_0.8_5.0	TARA_093_DCM_0.8_5.0	TARA_081_DCM_0.8_5.0	TARA_137_DCM_0.8_5.0	TARA_038_DCM_0.8_5.0	TARA_068_DCM_0.8_5.0	TARA_143_DCM_0.8_5.0	TARA_078_DCM_0.8_5.0	TARA_065_DCM_0.8_5.0	TARA_041_DCM_0.8_5.0	TARA_064_DCM_0.8_5.0	TARA_005_DCM_0.8_5.0	TARA_036_DCM_0.8_5.0	TARA_023_DCM_0.8_5.0	TARA_149_MES_0.8_3.0	TARA_148_MES_0.8_3.0	TARA_138_MES_0.8_3.0	TARA_142_MES_0.8_3.0	TARA_137_MES_0.8_3.0	TARA_144_MES_0.8_3.0	TARA_097_MES_0.8_3.0	TARA_109_MES_0.8_3.0	TARA_110_MES_0.8_3.0	TARA_131_MES_0.8_3.0	TARA_112_MES_0.8_3.0	TARA_146_MES_0.8_3.0	TARA_098_MES_0.8_3.0	TARA_132_MES_0.8_3.0	TARA_078_MES_0.8_3.0	TARA_085_SRF_0.8_5.0	TARA_142_SRF_0.8_5.0	TARA_080_SRF_0.8_5.0	TARA_086_SRF_0.8_5.0	TARA_036_SRF_0.8_5.0	TARA_081_SRF_0.8_5.0	TARA_006_SRF_0.8_5.0	TARA_124_SRF_0.8_5.0	TARA_043_SRF_0.8_5.0	TARA_004_SRF_0.8_5.0	TARA_131_SRF_0.8_5.0	TARA_113_SRF_0.8_5.0	TARA_041_SRF_0.8_5.0	TARA_058_SRF_0.8_5.0	TARA_052_SRF_0.8_5.0	TARA_143_SRF_0.8_5.0	TARA_123_SRF_0.8_5.0	TARA_149_SRF_0.8_5.0	TARA_095_SRF_0.8_5.0	TARA_128_SRF_0.8_5.0	TARA_110_SRF_0.8_5.0	TARA_046_SRF_0.8_5.0	TARA_067_SRF_0.8_5.0	TARA_076_SRF_0.8_5.0	TARA_039_SRF_0.8_5.0	TARA_129_SRF_0.8_5.0	TARA_130_SRF_0.8_5.0	TARA_072_SRF_0.8_5.0	TARA_005_SRF_0.8_5.0	TARA_082_SRF_0.8_5.0	TARA_122_SRF_0.8_5.0	TARA_084_SRF_0.8_5.0	TARA_145_SRF_0.8_5.0	TARA_042_SRF_0.8_5.0	TARA_136_SRF_0.8_5.0	TARA_092_SRF_0.8_5.0	TARA_106_SRF_0.8_5.0	TARA_137_SRF_0.8_5.0	TARA_111_SRF_0.8_5.0	TARA_051_SRF_0.8_5.0	TARA_112_SRF_0.8_5.0	TARA_139_SRF_0.8_5.0	TARA_102_SRF_0.8_5.0	TARA_064_SRF_0.8_5.0	TARA_045_SRF_0.8_5.0	TARA_100_SRF_0.8_5.0	TARA_018_SRF_0.8_5.0	TARA_109_SRF_0.8_5.0	TARA_152_SRF_0.8_5.0	TARA_009_SRF_0.8_5.0	TARA_089_SRF_0.8_5.0	TARA_068_SRF_0.8_5.0	TARA_151_SRF_0.8_5.0	TARA_078_SRF_0.8_5.0	TARA_146_SRF_0.8_5.0	TARA_093_SRF_0.8_5.0	TARA_016_SRF_0.8_5.0	TARA_038_SRF_0.8_5.0	TARA_066_SRF_0.8_5.0	TARA_070_SRF_0.8_5.0	TARA_132_SRF_0.8_5.0	TARA_147_SRF_0.8_5.0	TARA_022_SRF_0.8_5.0	TARA_135_SRF_0.8_5.0	TARA_148_SRF_0.8_5.0	TARA_097_SRF_0.8_5.0	TARA_096_SRF_0.8_5.0	TARA_098_SRF_0.8_5.0	TARA_150_SRF_0.8_5.0	TARA_020_SRF_0.8_5.0	TARA_025_SRF_0.8_5.0
GU119711.1.1407	3	4	0	3	7	68	5	21	25	91	29	46	24	7	28	13	16	1	5	7	29	13	10	3	12	4	8	14	23	5	10	4	7	8	4	6	8	8	8	2	0	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	8	12	192	3	12	51	10	39	6	4	9	34	59	60	13	19	2	6	26	31	8	22	7	7	9	5	10	6	3	24	43	4	28	22	1	10	9	9	30	5	11	11	6	13	1	3	6	6	1	7	1	7	1	3	1	2	2	4	16	1	0	1	2	1	0	0	0	0	0	0
GU119717.1.1408	2	2	1	4	2	147	21	4	11	82	13	5	37	3	13	9	7	1	5	1	14	3	7	26	6	7	5	5	8	15	23	3	2	3	6	3	10	5	23	4	5	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	11	21	174	2	19	116	4	20	9	7	10	8	16	2	3	34	10	1	6	13	4	133	4	3	5	3	8	1	11	13	30	59	6	8	10	14	6	4	6	1	7	4	14	5	5	1	1	3	3	12	3	8	1	4	16	3	2	26	13	7	3	1	3	3	7	2	0	2	4	2
GU119791.1.1373	0	0	0	1	0	30	1	1	4	0	5	1	7	1	0	0	0	0	0	0	1	0	1	13	2	1	0	0	0	1	3	2	0	1	0	1	2	0	3	3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU119882.1.1427	0	0	0	3	1	8	137	0	2	1	2	2	1	0	0	6	0	5	0	0	0	0	0	10	0	18	5	1	0	3	2	0	0	0	0	18	2	0	15	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU119886.1.1384	15	13	4	7	6	5	23	6	9	14	20	14	3	5	14	13	8	9	16	13	12	4	10	17	9	10	10	6	15	13	18	6	4	22	7	14	12	12	20	8	21	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	39	20	14	4	20	41	14	15	16	27	11	13	9	38	28	7	33	26	14	30	25	4	23	14	36	26	14	3	7	72	32	33	23	21	31	27	18	19	12	21	17	17	6	8	13	20	14	8	43	17	72	53	32	29	29	14	16	12	21	32	15	19	16	15	34	15	15	15	28	26	11
GU127396.1.925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	1	0	0	1	0	2	0	0	2	1	1	4	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU130113.1.1483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	2	1	2	3	1	0	0	11	0	1	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU145393.1.1406	2	0	1	0	1	1	0	3	0	0	2	0	1	1	2	4	6	1	2	2	2	0	3	4	1	1	2	1	1	0	2	5	4	4	0	0	0	1	1	1	1	0	2	3	0	0	1	1	2	0	1	0	1	2	1	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU145399.1.1459	2	2	1	1	4	5	1	0	17	0	5	1	9	2	1	3	7	4	0	9	3	3	6	12	2	1	0	0	4	2	0	7	0	2	3	8	1	0	2	4	0	6	2	4	5	2	2	2	5	2	0	0	2	4	2	3	1	0	1	1	0	2	1	0	0	0	3	1	3	0	2	0	18	2	6	1	0	1	0	1	1	0	2	0	0	3	0	0	0	2	0	2	0	3	1	1	1	1	3	1	1	1	2	5	0	3	3	0	1	0	0	1	2	3	3	3	1	0	5	3	0	1	2	2	0	0	0	2
GU145407.1.1525	0	0	0	0	0	0	0	2	0	0	0	5	6	25	1	0	0	43	2	4	0	1	0	3	41	15	20	1	3	38	2	1	3	0	0	2	0	2	0	0	0	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	4	0	0	1	0	1	2	0	0	5	3	3	21	3	0	0	32	1	0	0	23	0	0	0	4	0	0	0	14	0	2	1	2	0	2	1	4	0	0	0	14	0	1	2	2	0	0	2	0	0	0	0	0	1	10	0	1	0	2	1	8	21	1	3	1	0	0	1	4
GU145458.1.1456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	5	1	0	2	1	0	0	2	0	2	1	2	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU145469.1.1515	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	4	1	5	2	3	2	2	4	0	0	5	8	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU145487.1.1483	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	4	0	2	1	2	0	1	0	2	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU145499.1.1519	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0	0	2	1	1	1	0	6	0	3	3	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU145528.1.1489	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	6	1	2	0	1	1	1	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU201959.1.1479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	0	0	0	1	0	2	1	5	1	0	1	1	0	9	1	2	21	2	0	0	0	1	1	1	0	0	0	1	1	0	1	1	1	0	1	3	0	1	0	1	0	2	8	0	12	1	2	0	10	2	0	0	0	0	1	0	5	2	0	1	3	1	2	9	1	0	0	0	4	2	1	4	2	1	0	0	0	1	0	1	1	1	1	1
GU217714.1.1429	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	12	0	13	0	63	0	6	3	42	36	10	0	28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU230310.1.1494	1	1	1	0	0	4	0	0	1	0	0	1	1	1	3	0	2	6	1	1	6	0	0	2	0	4	1	2	1	1	1	2	0	1	2	1	4	1	0	6	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	6	0	2	2	3	3	1	5	0	3	0	3	2	9	0	1	3	1	2	0	1	2	0	1	0	1	1	0	4	0	0	0	3	12	2	3	4	2	1	5	5	1	2	2	11	5	1	5	0	4	3	2	1	5	2	2	2	1	4	3	1	3	2	5	1	4	1	3	4
GU230390.1.1530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	2	4	4	0	1	1	8	0	1	3	7	5	3	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU234190.1.1313	0	1	1	4	0	1	6	0	0	0	0	0	8	6	0	0	0	0	0	1	1	0	1	8	14	1	3	0	0	18	14	4	2	3	0	0	4	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU234735.1.1317	0	5	3	14	1	3	1	7	10	0	1	0	8	4	4	6	2	21	0	7	3	0	4	13	8	25	10	2	3	0	8	20	5	5	5	1	3	3	1	7	4	30	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	3	5	0	4	7	2	2	2	7	5	1	2	0	5	7	2	4	3	4	0	5	0	1	1	8	3	10	8	9	1	0	3	1	4	0	2	9	5	2	5	0	0	1	2	2	4	3	5	5	7	5	29	6	1	9	3	4	1	12	5	5	9	11	4	0	2	1	12	1	2
GU234740.1.1373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	0	0	1	0	2	1	0	0	1	0	7	1	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU234835.1.1366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	12	0	1	4	0	0	0	2	0	1	0	0	8	1	3	5	1	1	2	0	1	2	0	1	1	0	0	8	5	1	0	0	3	1	10	3	3	0	0	1	1	2	0	2	0	2	3	0	12	1	2	0	0	7	0	0	3	1	0	2	0	6	0	0	1	0	4	0	0
GU234880.1.1372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	3	0	0	0	1	2	2	3	0	1	1	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU234892.1.1393	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	0	3	2	1	1	1	4	2	0	0	2	2	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU234935.1.1331	70	40	9	82	53	128	256	22	78	1004	117	41	50	45	204	37	74	12	114	39	142	38	68	113	82	34	21	50	145	103	131	46	36	140	19	166	121	58	135	3	76	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1962	64	31	390	19	281	158	133	20	22	19	73	33	101	63	14	386	174	154	279	156	13	138	21	70	145	20	11	6	2395	323	2771	282	34	276	710	174	156	39	31	12	121	61	61	24	136	23	77	411	20	1008	323	94	26	162	55	30	56	169	150	15	62	34	124	126	15	23	10	227	36	14
GU234988.1.1399	0	1	0	2	1	0	2	1	0	0	0	0	5	1	1	2	0	0	0	3	3	0	2	1	1	0	1	0	0	1	4	2	2	0	0	0	0	1	0	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU235015.1.1323	6	1	1	2	5	5	7	0	2	3	2	0	1	1	8	1	2	1	14	3	3	0	1	6	3	2	3	0	4	5	3	0	0	5	2	8	4	1	0	0	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	10	1	6	0	8	6	7	1	4	0	4	0	4	1	3	7	6	17	9	3	1	0	2	1	2	2	0	1	11	17	8	5	4	3	2	1	4	1	1	0	1	1	1	2	8	1	0	11	0	4	9	1	2	9	1	2	2	5	3	2	2	1	1	8	2	1	0	5	1	2
GU235074.1.1358	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4	1	2	1	3	3	1	0	1	1	10	2	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU235157.1.1340	1	3	1	3	0	0	2	3	2	0	2	0	0	3	0	0	1	0	3	8	1	0	0	1	4	0	0	0	1	3	3	1	0	0	0	6	2	0	6	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU235240.1.1269	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	14	3	5	4	6	9	1	3	3	2	10	7	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GU235302.1.1328	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	2	0	1	1	0	0	0	1	1	0	2	0	0	0	1	0	2	1	0	2	3	0	1	3	1	0	8	3	0	1	0	0	1	0	0	1	4	0	1	0	1	0	1	1	8	1	2	8	5	1	6	0	0	13	4	0	0	0	1	1	17	5	1	1	0	0	0	4	8
GU235602.1.1346	13	11	3	6	21	13	43	6	21	176	27	8	10	4	16	9	7	11	16	14	18	11	12	21	11	6	9	8	19	19	33	7	11	17	3	31	20	14	24	1	23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	338	9	6	66	5	59	28	22	1	5	10	17	9	16	9	6	63	41	22	35	21	4	15	14	14	21	5	1	7	388	36	464	56	4	39	100	34	19	18	9	7	28	13	16	1	11	7	16	65	8	212	61	18	6	34	9	14	13	31	24	8	20	6	26	25	2	4	7	34	6	6
GU235704.1.1293	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	0	1	1	0	0	0	4	3	0	1	0	1	0	0	2	2	0	0	0	0	0	2	1	0	2	1	1	0	6	1	1	0	1	0	0	1	0	4	1	0	2	0	0	3	0	0	2	1	0	2	5	0	4	1	0	0	2	0	1	2	2	1	1	1	1	1	1	0
