	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
EF572785.1.1464	1	0	5	1	3	4	15	5	2	1	0	0	8	0	1	11	18	8	0	2	3	10	4	0	0	0	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	0	7	1	8	3	8	8	11	14	6	3	0	8	8	3	12	7	1	9	8	6	0	0	0	9	1	7	11	14	2	0	3	2	10	5	0	0	0	0	0	0	4	1	5
EF572791.1.1441	37	4	22	16	32	26	21	26	12	5	1	20	33	20	21	66	35	27	19	7	29	18	24	0	0	2	21	3	5	4	6	0	2	10	2	3	1	0	1	2	0	1	2	3	5	2	1	2	0	33	0	4	0	1	23	6	12	19	37	65	43	14	30	41	15	46	12	17	42	29	26	28	4	20	28	12	22	17	19	47	32	62	59	47	11	0	7	18	38	56	43	0	0	0	3	25	39	63	28
EF572834.1.1500	1	2	8	1	0	0	2	8	0	1	0	0	1	1	1	8	2	1	2	0	1	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	7	9	12	1	3	8	14	6	9	10	6	2	11	9	17	10	5	0	1	1	2	0	0	0	6	7	6	4	6	2	0	0	2	4	2	2	1	0	0	0	0	0	3	2
EF572866.1.1525	2	6	3	6	5	5	8	8	5	1	0	1	8	4	4	1	2	7	1	2	9	13	2	0	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	2	2	1	8	5	17	9	13	11	13	2	0	3	19	9	1	8	1	0	4	5	1	1	1	8	4	5	6	8	1	0	1	2	16	12	0	0	0	0	0	0	0	2	6
EF572892.1.1439	17	9	14	7	27	14	13	13	12	0	2	6	17	16	9	26	25	13	11	9	18	19	14	0	0	0	12	4	2	1	9	1	3	8	1	1	3	0	1	4	5	4	1	1	1	3	1	2	0	15	1	3	0	2	13	11	7	21	16	22	18	11	18	18	15	23	0	14	16	16	6	17	5	17	12	9	8	17	9	20	19	31	21	19	6	0	12	17	12	20	14	0	0	0	2	17	15	17	22
EF572896.1.1456	7	0	2	2	2	3	2	4	2	0	0	3	2	0	1	3	5	0	2	2	3	2	4	0	0	0	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	1	2	1	1	1	1	2	3	1	4	0	2	4	4	3	4	0	1	5	4	0	0	1	5	2	4	1	5	1	0	1	1	6	1	4	0	0	0	0	1	8	9	1
EF572922.1.1449	8	3	17	14	5	9	7	14	3	0	1	3	13	8	8	29	14	8	7	5	9	16	16	0	0	0	4	0	1	1	3	0	3	2	0	0	0	0	0	0	0	2	0	2	1	2	1	0	1	9	0	6	0	1	19	9	19	15	10	18	13	13	8	19	17	30	1	13	16	20	13	7	5	3	16	7	12	18	5	20	14	29	11	9	10	0	4	10	24	29	20	0	0	0	0	13	15	24	28
EF572962.1.1462	0	0	0	4	8	5	4	4	4	0	0	2	8	4	5	10	13	7	2	1	0	8	5	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2	3	2	2	6	3	4	1	2	4	9	0	2	6	12	4	7	2	5	9	4	1	2	1	11	3	16	4	5	1	0	2	2	6	7	2	0	0	0	0	2	1	0	4
EF573001.1.1489	15	21	22	36	16	15	3	47	8	18	2	11	44	34	27	10	13	26	29	24	11	4	14	0	0	6	7	1	3	2	15	1	0	5	0	0	0	0	0	0	1	4	1	0	1	1	1	0	0	8	0	2	0	0	35	21	25	28	13	18	35	67	43	15	40	12	14	32	24	24	17	47	9	20	21	43	29	51	29	9	28	19	19	20	31	0	30	25	10	11	22	0	0	0	5	14	14	9	16
EF573011.1.1496	2	0	2	2	2	1	2	10	0	1	0	0	8	6	3	3	1	3	4	0	3	3	0	0	0	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	13	0	5	7	7	5	15	15	12	8	20	3	1	11	6	2	5	6	1	2	4	5	1	4	0	4	0	3	2	3	2	1	1	3	5	7	0	0	0	0	0	3	4	1	6
