	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0	TARA_100_MES_0.22_3.0	TARA_102_MES_0.22_3.0	TARA_109_MES_0.22_3.0	TARA_110_MES_0.22_3.0	TARA_111_MES_0.22_3.0	TARA_112_MES_0.22_3.0	TARA_122_MES_0.22_3.0	TARA_132_MES_0.22_3.0	TARA_133_MES_0.22_3.0	TARA_137_MES_0.22_3.0	TARA_138_MES_0.22_3.0	TARA_142_MES_0.22_3.0	TARA_145_MES_0.22_3.0	TARA_146_MES_0.22_3.0	TARA_148_MES_0.22_3.0	TARA_149_MES_0.22_3.0	TARA_152_MES_0.22_3.0	TARA_056_MES_0.22_3.0	TARA_064_MES_0.22_3.0	TARA_065_MES_0.22_3.0	TARA_068_MES_0.22_3.0	TARA_070_MES_0.22_3.0	TARA_072_MES_0.22_3.0	TARA_076_MES_0.22_3.0	TARA_078_MES_0.22_3.0	TARA_085_MES_0.22_3.0	TARA_098_MES_0.22_3.0	TARA_100_SRF_0.22_3.0	TARA_102_SRF_0.22_3.0	TARA_109_SRF_0.22_3.0	TARA_110_SRF_0.22_3.0	TARA_111_SRF_0.22_3.0	TARA_112_SRF_0.22_3.0	TARA_122_SRF_0.22_3.0	TARA_123_SRF_0.22_3.0	TARA_124_SRF_0.22_3.0	TARA_125_SRF_0.22_3.0	TARA_128_SRF_0.22_3.0	TARA_132_SRF_0.22_3.0	TARA_133_SRF_0.22_3.0	TARA_137_SRF_0.22_3.0	TARA_138_SRF_0.22_3.0	TARA_140_SRF_0.22_3.0	TARA_141_SRF_0.22_3.0	TARA_142_SRF_0.22_3.0	TARA_145_SRF_0.22_3.0	TARA_146_SRF_0.22_3.0	TARA_148_SRF_0.22_3.0	TARA_149_SRF_0.22_3.0	TARA_150_SRF_0.22_3.0	TARA_151_SRF_0.22_3.0	TARA_152_SRF_0.22_3.0	TARA_056_SRF_0.22_3.0	TARA_057_SRF_0.22_3.0	TARA_062_SRF_0.22_3.0	TARA_064_SRF_0.22_3.0	TARA_065_SRF_0.22_3.0	TARA_066_SRF_0.22_3.0	TARA_067_SRF_0.22_3.0	TARA_068_SRF_0.22_3.0	TARA_070_SRF_0.22_3.0	TARA_072_SRF_0.22_3.0	TARA_076_SRF_0.22_3.0	TARA_078_SRF_0.22_3.0	TARA_082_SRF_0.22_3.0	TARA_084_SRF_0.22_3.0	TARA_085_SRF_0.22_3.0	TARA_093_SRF_0.22_3.0	TARA_094_SRF_0.22_3.0	TARA_096_SRF_0.22_3.0	TARA_098_SRF_0.22_3.0	TARA_099_SRF_0.22_3.0
FM179894.1.1327	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	5	3	2	3	2	4	1	0	3	3	2	1	0	4	2	2	4	2	1	0	2	1	0	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FM242450.1.1408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	3	2	3	2	3	1	1	0	0	0	0	1	0	0	0	2	1	1	0	1	0	5	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FM882228.1.1386	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	3	1	1	13	4	0	0	0	0	3	2	2	2	1	0	6	1	1	0	0	0	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FM992724.1.1457	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	0	2	1	3	0	2	1	1	15	9	5	1	0	0	0	0	0	2	2	0	23	9	0	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN433310.1.1488	0	2	4	11	4	2	1	1	4	3	0	1	0	3	4	4	0	2	2	1	0	1	1	0	0	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	16	13	6	14	8	5	2	0	0	1	3	6	22	3	3	3	4	1	0	0	1	1	4	11	5	2	1	7	0	0	2	2	0	0	1	0	1	0	0	0	3	16	2	0	8
FN433328.1.1525	3	4	1	1	1	0	0	1	2	23	0	1	0	3	4	1	1	1	3	1	0	0	1	1	0	30	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	5	2	6	1	2	0	1	0	1	1	1	20	0	3	1	1	0	13	0	0	0	3	6	15	0	1	0	0	0	3	7	1	0	0	1	1	3	0	0	11	12	2	1	9
FN433348.1.1495	10	7	7	9	9	5	2	5	3	29	2	3	5	1	12	4	5	5	26	4	1	2	3	5	0	48	1	0	0	0	10	0	1	2	1	2	1	0	1	0	0	1	1	3	1	0	0	1	0	2	0	1	0	1	18	15	14	11	12	5	9	4	12	9	9	5	57	7	4	4	16	7	19	3	6	6	10	8	79	6	4	3	2	4	27	4	3	1	0	4	3	6	0	0	37	8	11	5	7
FN433363.1.1498	4	5	2	2	3	0	1	0	3	9	0	0	0	12	7	0	0	0	14	2	0	0	14	6	5	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN433379.1.1490	2	0	1	0	0	0	0	2	5	0	1	2	3	0	1	0	1	0	5	9	4	0	0	7	4	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	1	1	0	0	3	2	2	0	1	0	0	2	0	0	1	2	0	2	2	5	5	6	0	5	5	2	0	4	1	2	1	3	0	0	9	8	0	0	0	0	0	0
FN433409.1.1491	0	4	2	1	0	2	0	0	2	0	0	1	3	2	4	0	1	0	0	0	3	1	0	40	267	2	0	0	2	2	1	0	0	0	2	0	1	0	1	3	1	1	0	0	1	1	0	2	1	1	0	0	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN433412.1.1496	5	14	16	12	9	4	5	11	2	6	0	0	12	26	10	9	6	13	8	6	0	4	7	0	0	7	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	28	22	12	17	12	20	11	3	9	9	19	17	5	16	16	17	23	11	0	5	12	15	13	13	17	9	6	6	9	4	7	0	2	7	12	14	15	0	0	0	9	21	72	51	46
FN433426.1.1497	0	5	5	3	0	2	0	0	1	5	0	3	0	9	8	2	0	3	1	0	0	2	4	1	0	9	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	1	0	2	2	1	0	0	0	0	2	27	3	0	1	0	0	0	1	2	2	7	19	2	0	1	1	0	0	2	3	2	1	0	0	5	0	0	0	12	26	1	0	4
FN435231.1.1514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	8	4	3	22	2	9	3	3	3	13	15	14	14	4	14	12	2	2	0	0	1	0	1	0	5	6	6	1	1	1	0	0	0	0	1	2	0	0	0	13	16	8	8	12
FN553515.1.1520	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	1	0	1	2	3	2	2	0	0	2	1	3	4	0	1	0	1	3	2	0	1	1	3	2	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FN820372.1.1349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	0	0	2	2	2	2	1	0	0	6	0	1	1	3	0	2	0	4	2	1	1	2	3	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FQ032804.31701.33214	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	7	0	0	1	19	3	0	0	1	0	11	5	5	4	3	4	3	2	3	0	0	0	0	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FQ032815.3262.4778	1	1	1	4	1	0	0	1	0	2	0	2	3	4	1	0	2	1	0	5	4	0	2	6	7	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FQ032821.27163.28678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	8	1	2	4	0	0	0	0	0	0	11	46	1	0	0	0	0	4	0	0	1	14	18	52	0	0	0	0	0	9	33	0	0	0	6	14	0	1	0	13	8	10	12	15
FQ032823.12062.13572	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	20	13	4	3	5	7	1	4	13	7	1	10	11	16	11	0	0	0	9	0	2	18	0	1	18	4	0	1	1	4	0	4	6	17	31	0	0	0	0	1	21	5	2
FQ032825.6410.7925	2	2	21	1	1	3	1	8	1	0	0	0	1	1	2	6	2	1	0	2	2	6	1	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	8	31	0	14	12	20	4	14	4	9	19	1	7	18	2	11	2	0	5	2	1	0	1	0	5	3	4	0	1	0	0	2	1	25	88	1	0	1	0	0	15	31	21	40
FQ032826.22493.24014	0	2	8	10	0	2	0	11	0	1	0	1	5	4	5	4	0	3	0	0	0	0	3	0	0	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	2	12	12	9	7	6	1	2	5	7	14	5	6	15	6	7	0	1	1	0	0	1	2	1	8	11	8	2	0	2	0	0	0	2	9	1	0	0	0	4	7	6	7	23
FQ032827.10327.11842	1	6	8	5	1	2	3	3	4	2	1	5	1	1	1	2	2	4	3	1	7	1	2	1	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	14	9	3	6	4	6	3	4	0	5	7	3	8	8	3	0	6	0	4	0	1	2	0	1	6	1	0	1	2	1	4	2	0	3	6	19	1	0	1	0	1	1	3	8	11
FQ032828.26868.28381	20	32	34	53	11	5	10	58	11	22	0	9	65	38	17	19	23	41	31	23	8	4	9	0	0	8	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	51	24	47	21	15	32	99	27	15	52	34	23	36	17	22	60	54	19	32	27	46	25	54	34	16	37	51	40	24	27	0	16	22	18	7	27	0	0	0	7	12	16	21	19
FQ032830.13921.15433	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	21	1	7	14	9	2	0	1	0	2	6	2	2	1	2	0	0	2	0	1	0	0	1	0	4	0	2	0	0	1	2	2	1	0	0	2	6	8	1	1	4	1	0	7
FR667293.1.1365	8	6	2	2	7	4	7	0	3	1	3	0	0	3	0	4	2	0	0	6	3	4	0	0	0	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	4	9	0	1	3	0	1	0	2	1	0	2	3	1	2	3	1	1	0	2	1	1	1	3	1	3	1	0	1	0	1	4	2	1	2	5	0	0	0	9	2	0	0	1
FR683217.1.1443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	0	2	0	2	0	0	1	1	0	0	2	0	1	1	0	2	1	0	1	0	0	1	0	2	1	0	1	0	0	2	0	2	0	1	3	0	2	0	3	1	0	3	1
FR683232.1.1453	3	3	3	0	1	0	0	3	2	6	0	0	0	0	2	1	1	1	4	1	1	2	0	9	11	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3	1	2	3	0	1	1	3	3	1	1	7	3	1	1	0	0	3	1	0	2	3	4	1	3	0	1	0	2	2	2	3	1	3	1	0	5	12	27	3	1	4	5	3
FR683284.1.1483	1	1	1	0	1	0	0	2	0	5	0	0	0	0	3	0	1	1	2	2	0	0	1	5	2	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FR683452.1.1468	2	2	2	5	6	0	1	4	2	10	0	0	2	3	1	3	0	2	4	2	2	0	1	10	3	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	11	5	3	4	6	2	2	0	3	2	4	2	10	2	2	1	4	3	3	2	0	0	0	1	3	2	3	1	1	2	7	28	2	2	2	3	2	11	9	1	9	3	4	3	4
FR683487.1.1484	1	2	2	3	2	0	0	3	0	3	0	0	1	2	0	0	0	0	5	1	0	0	0	4	2	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0	0	3	0	1	1	0	2	0	0	8	1	0	1	2	0	1	0	0	0	2	1	8	1	0	1	0	1	2	12	2	1	0	0	0	5	9	1	1	1	2	2	2
FR683618.1.1414	2	4	1	0	4	0	1	2	3	5	0	5	0	5	0	2	4	1	5	1	1	0	4	70	65	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	2	2	0	2	0	1	3	2	4	1	10	2	6	2	1	1	6	0	1	1	3	2	1	0	0	3	3	1	4	12	2	2	4	2	0	56	64	112	3	9	5	1	4
FR683683.1.1457	10	4	7	6	2	3	2	7	1	6	0	1	2	5	3	3	1	7	4	5	2	1	2	14	7	5	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	17	8	8	8	8	2	6	1	10	4	5	3	11	8	5	9	2	4	12	1	0	4	2	2	4	5	2	3	5	4	6	19	2	2	3	1	4	10	15	5	4	8	9	5	4
FR683711.1.1469	6	0	6	5	2	0	0	2	2	4	0	0	2	1	1	1	2	4	3	0	0	0	2	10	12	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	5	3	1	4	1	4	2	6	3	6	2	7	4	1	0	2	1	2	3	2	0	2	0	7	4	1	3	3	4	2	14	3	2	4	2	1	13	29	14	4	3	4	4	4
FR683791.1.1444	3	2	6	5	2	0	0	3	4	6	0	2	1	2	1	0	4	3	2	2	0	0	0	7	0	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	8	4	3	5	4	5	2	3	2	1	5	12	2	1	3	1	2	4	0	1	1	2	6	2	3	3	2	2	2	0	5	4	3	0	3	13	7	1	0	6	9	9	6	7
FR683821.1.1471	1	2	12	2	5	1	3	3	1	0	0	0	1	2	1	5	3	1	3	0	0	1	0	11	9	4	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	5	6	5	3	0	5	3	4	2	3	4	1	7	3	2	2	2	0	2	3	2	1	2	0	2	2	1	2	6	3	5	0	3	1	2	2	6	18	7	2	4	1	2	0
FR683837.1.1444	0	0	3	1	0	0	0	3	1	5	0	0	3	1	1	0	0	0	1	1	1	0	0	2	1	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	0	2	2	5	2	0	1	5	3	2	0	9	2	0	0	0	1	4	0	1	2	1	0	4	0	2	3	1	2	4	2	0	0	0	0	0	2	0	0	5	4	5	0	1
FR683839.1.1424	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	1	1	0	0	1	1	1	2	1	2	0	1	2	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	1	0	1	1	0	1	4	8	14	1	0	0	0	0
FR683972.1.1501	1	5	1	1	1	1	0	0	1	0	0	0	1	1	1	1	2	1	0	0	0	3	2	1	0	0	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	7	1	1	3	4	2	3	1	3	1	2	4	6	3	5	1	0	1	0	0	2	0	0	0	0	6	0	2	1	0	0	1	0	3	2	6	7	0	0	0	1	5	2	1	4
FR683981.1.1460	0	6	0	3	0	1	1	0	5	4	0	6	2	9	4	2	14	11	8	26	2	15	6	3	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FR684035.1.1485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	1	2	0	1	0	0	0	0	0	1	3	0	1	1	1	0	5	0	1	2	0	1	1	0	1	0	0	0	2	18	1	0	0	0	1	6	6	2	3	5	0	1	0
FR684053.1.1487	3	0	1	1	2	0	2	0	8	4	0	1	0	6	7	0	1	0	4	11	3	0	5	5	9	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FR684095.1.1460	4	3	3	1	2	2	1	0	2	1	0	3	1	0	0	0	0	1	6	1	2	0	1	7	10	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	2	0	0	1	1	1	0	1	0	4	3	0	1	3	0	1	0	0	0	3	1	7	1	1	0	0	0	3	7	2	3	1	1	1	11	16	7	1	5	4	1	0
FR684119.1.1469	3	4	1	6	1	1	0	1	0	4	0	1	2	1	0	0	1	0	1	1	0	1	1	6	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	2	1	5	2	0	1	2	2	1	3	4	4	2	3	2	0	1	0	0	1	1	4	3	2	1	1	1	2	2	10	1	2	0	0	0	5	7	0	7	5	2	4	4
FR684154.1.1447	1	1	3	2	0	1	0	2	0	2	0	0	2	1	0	1	0	0	1	0	1	0	1	16	11	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	1	4	6	1	3	2	1	1	2	3	6	3	1	1	2	2	3	0	1	1	0	0	1	1	2	2	1	0	0	1	0	0	2	3	6	7	21	21	1	1	1	9	4	4
FR684182.1.1481	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	1	2	0	1	0	3	0	1	3	1	1	1	0	1	2	1	0	0	1	0	0	0	0	0	2	0	0	0	1	12	0	2	2	5	3	0	0	0	4	0	3	4	1
FR684215.1.1469	0	1	2	1	1	0	0	3	0	6	0	1	4	4	2	1	0	2	0	2	0	0	0	7	2	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	2	3	2	3	0	4	1	0	2	0	1	5	1	2	2	4	3	1	1	0	2	1	1	3	0	0	2	0	1	1	18	1	1	0	2	0	10	3	2	7	3	1	3	3
FR684227.1.1444	0	0	1	1	1	0	0	4	0	3	0	0	1	1	0	1	1	1	1	0	1	2	0	8	17	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	2	1	2	2	2	2	0	2	1	6	1	1	4	0	1	1	1	0	0	1	0	4	0	1	4	0	3	1	2	2	1	0	1	2	11	41	14	1	2	4	1	1
FR684247.1.1444	5	11	8	5	6	1	1	3	2	9	0	2	7	3	6	3	4	3	8	3	1	3	2	29	34	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	12	1	2	4	3	8	3	3	5	2	4	14	5	1	4	1	0	8	5	5	6	8	8	4	2	1	4	4	5	6	6	6	4	2	2	3	28	29	38	4	6	4	2	1
