	Mean.Depth_m	Mean.Temperature	Mean.Oxygen_umol.kg.1	PO4_umol.L.1	NO2NO3_umol.L.1	SI_umol.L.1	AMODIS.PAR8d.Einsteins.m.2.d.1
TARA_068_SRF_0.22_3.0	5.427417	16.832058	231.914833	0.229	1.303	2.601	34.079
TARA_070_SRF_0.22_3.0	5.396667	19.776808	215.650833	0.364	0.986	1.362	48.151
TARA_072_SRF_0.22_3.0	5.8434	25.02619	199.1195	0.104	0.018	0.868	37.502
TARA_076_SRF_0.22_3.0	5.46125	23.349542	206.194333	0.056	0	0.814	NA
TARA_078_SRF_0.22_3.0	5.5735	19.854083	221.47475	0	0.017	0.481	NA
TARA_082_SRF_0.22_3.0	5.480333	7.321517	305.012167	1.301	18.15	1.824	27.488
TARA_084_SRF_0.22_3.0	5.9026	1.84402	338.2982	1.723	25.3	16.55	36.192
TARA_085_SRF_0.22_3.0	5.9412	0.67108	343.4373	2.111	28.5	79.52	32.42
TARA_093_SRF_0.22_3.0	5.331833	18.014508	244.861667	0.52	0.02	0.09	37.262
TARA_094_SRF_0.22_3.0	5.430083	21.131962	219.174917	0.28	0.03	0.09	44.294
TARA_096_SRF_0.22_3.0	5.51125	23.799133	204.13825	0.16	0.02	0.53	43.197
TARA_098_SRF_0.22_3.0	5.558167	25.14875	200.538167	0.2	0.05	0.38	44.893
TARA_099_SRF_0.22_3.0	5.398167	23.788833	203.995417	0.29	0.04	0.55	44.569
