	TARA_085_SRF_0.8_5.0	TARA_142_SRF_0.8_5.0	TARA_080_SRF_0.8_5.0	TARA_086_SRF_0.8_5.0	TARA_036_SRF_0.8_5.0	TARA_081_SRF_0.8_5.0	TARA_006_SRF_0.8_5.0	TARA_124_SRF_0.8_5.0	TARA_043_SRF_0.8_5.0	TARA_004_SRF_0.8_5.0	TARA_131_SRF_0.8_5.0	TARA_113_SRF_0.8_5.0	TARA_041_SRF_0.8_5.0	TARA_058_SRF_0.8_5.0	TARA_052_SRF_0.8_5.0	TARA_143_SRF_0.8_5.0	TARA_123_SRF_0.8_5.0	TARA_149_SRF_0.8_5.0	TARA_095_SRF_0.8_5.0	TARA_128_SRF_0.8_5.0	TARA_110_SRF_0.8_5.0	TARA_046_SRF_0.8_5.0	TARA_067_SRF_0.8_5.0	TARA_076_SRF_0.8_5.0	TARA_039_SRF_0.8_5.0	TARA_129_SRF_0.8_5.0	TARA_130_SRF_0.8_5.0	TARA_072_SRF_0.8_5.0	TARA_005_SRF_0.8_5.0	TARA_082_SRF_0.8_5.0	TARA_122_SRF_0.8_5.0	TARA_084_SRF_0.8_5.0	TARA_145_SRF_0.8_5.0	TARA_042_SRF_0.8_5.0	TARA_136_SRF_0.8_5.0	TARA_092_SRF_0.8_5.0	TARA_106_SRF_0.8_5.0	TARA_137_SRF_0.8_5.0	TARA_111_SRF_0.8_5.0	TARA_051_SRF_0.8_5.0	TARA_112_SRF_0.8_5.0	TARA_139_SRF_0.8_5.0	TARA_102_SRF_0.8_5.0	TARA_064_SRF_0.8_5.0	TARA_045_SRF_0.8_5.0	TARA_100_SRF_0.8_5.0	TARA_018_SRF_0.8_5.0	TARA_109_SRF_0.8_5.0	TARA_152_SRF_0.8_5.0	TARA_009_SRF_0.8_5.0	TARA_089_SRF_0.8_5.0	TARA_068_SRF_0.8_5.0	TARA_151_SRF_0.8_5.0	TARA_078_SRF_0.8_5.0	TARA_146_SRF_0.8_5.0	TARA_093_SRF_0.8_5.0	TARA_016_SRF_0.8_5.0	TARA_038_SRF_0.8_5.0	TARA_066_SRF_0.8_5.0	TARA_070_SRF_0.8_5.0	TARA_132_SRF_0.8_5.0	TARA_147_SRF_0.8_5.0	TARA_022_SRF_0.8_5.0	TARA_135_SRF_0.8_5.0	TARA_148_SRF_0.8_5.0	TARA_097_SRF_0.8_5.0	TARA_096_SRF_0.8_5.0	TARA_098_SRF_0.8_5.0	TARA_150_SRF_0.8_5.0	TARA_020_SRF_0.8_5.0	TARA_025_SRF_0.8_5.0
HQ671886.1.1437	0	5	8	0	4	20	0	2	1	14	3	1	4	1	4	2	3	1	9	3	5	0	2	3	3	1	0	2	18	0	1	0	1	3	1	0	4	0	4	0	3	1	1	1	5	2	12	0	2	6	0	4	7	6	1	3	19	3	0	6	2	1	3	3	6	9	2	7	5	9	8
GU451615.1.1244	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX441598.1.1511	0	3	1	0	7	3	0	7	0	0	0	15	3	1	3	5	1	2	4	4	6	10	0	0	7	1	10	2	0	0	5	0	4	1	5	0	5	5	9	0	2	15	3	15	7	18	3	23	5	0	0	7	5	0	4	3	0	7	7	23	0	3	21	22	5	0	0	0	10	0	2
HQ448941.1.1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
KM018772.1.1602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
GQ081333.1.1362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HE681231.1.1521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU437555.1.1513	0	0	4	0	0	0	0	15	0	0	0	0	0	0	0	0	4	0	3	0	5	0	0	0	0	1	0	0	0	0	4	1	1	0	0	0	0	0	4	0	0	0	1	0	0	4	0	9	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	4	1	7	0	0	0
HQ153867.1.1394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
AF468278.1.1350	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
