	TARA_149_MES_0.8_3.0	TARA_148_MES_0.8_3.0	TARA_138_MES_0.8_3.0	TARA_142_MES_0.8_3.0	TARA_137_MES_0.8_3.0	TARA_144_MES_0.8_3.0	TARA_097_MES_0.8_3.0	TARA_109_MES_0.8_3.0	TARA_110_MES_0.8_3.0	TARA_131_MES_0.8_3.0	TARA_112_MES_0.8_3.0	TARA_146_MES_0.8_3.0	TARA_098_MES_0.8_3.0	TARA_132_MES_0.8_3.0	TARA_078_MES_0.8_3.0
JQ012976.1.1405	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0
JQ678450.1.1514	1	1	2	1	1	0	2	1	0	0	0	1	0	0	3
GU118928.1.1458	3	2	3	1	4	3	3	19	8	3	11	1	2	5	7
KJ184984.1.1410	3	6	0	6	0	17	0	1	0	15	10	1	0	6	0
JF979274.1.1476	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GQ411503.1.1389	0	0	30	24	7	0	0	0	0	2	0	0	1	0	2
JN428111.1.1362	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HQ672376.1.1517	6	4	0	1	2	12	10	1	1	2	2	6	12	3	2
GU941007.1.1323	0	3	2	0	1	0	0	0	0	0	0	0	0	1	1
HQ672422.1.1506	1	2	0	1	1	0	2	2	2	0	0	0	0	0	1
GQ002849.1.1344	0	0	0	0	0	0	0	8	0	2	5	0	1	0	1
AM990660.1.1353	1	1	0	15	0	21	1	12	5	3	9	3	0	4	3
AB694329.1.1397	0	0	18	0	7	0	0	0	1	0	0	0	0	0	0
HM998510.1.940	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0
AB302357.1.1368	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1
KJ589977.1.1484	2	0	1	0	1	1	1	0	1	0	2	1	3	2	1
GU647069.1.1405	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
AWNN01000021.8453.9992	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
HQ008549.1.1530	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
AB974139.1.1390	2	0	0	0	0	0	28	1	8	0	2	0	1	0	1
EF572383.1.1474	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0
JN986145.1.1474	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
FJ826052.1.1446	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
HM369097.1.1258	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
HQ225229.1.1503	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
HQ588393.1.1410	0	0	1	0	1	0	0	1	2	0	0	0	0	1	0
JX879053.1.1463	1	2	0	0	0	1	3	0	0	1	3	2	3	2	0
JQ716278.1.1528	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
DQ396109.1.1503	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JQ816143.1.1438	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ916628.1.1367	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EU912002.1.1210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KX097488.1.1517	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0
AY704382.1.1437	2	0	5	0	22	0	3	0	3	0	4	0	0	0	1
AB974134.1.1382	11	2	0	2	2	4	5	0	0	2	2	10	11	3	2
AB021380.1.1505	1	3	0	0	1	0	2	4	4	0	2	0	7	0	0
JX227311.1.1446	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KF741555.1.1498	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0
KC872433.1.1369	0	0	0	1	0	1	3	0	0	1	0	0	0	0	0
KM019064.1.1510	0	1	1	0	1	0	0	0	0	0	0	1	0	1	0
EU802940.1.1439	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
JQ906087.1.1436	6	0	0	1	0	3	2	3	0	20	8	1	0	5	1
JX984134.1.1286	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
FJ973521.1.1467	5	9	43	8	14	12	8	63	32	12	31	3	103	8	36
HQ674279.1.1515	1	0	2	1	12	0	1	2	3	0	0	2	0	0	0
JN180134.1.1482	0	0	0	0	0	5	0	0	0	1	0	1	0	2	0
GQ927571.1.913	0	0	3	0	6	0	0	0	1	0	0	0	0	0	0
HE613855.1.1509	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DQ396018.1.1528	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0
GQ093148.1.1308	0	2	2	3	0	0	1	0	1	0	0	2	0	0	0
HQ916521.1.1309	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HM467997.1.1407	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GU145512.1.1410	0	0	2	0	3	0	0	0	1	0	0	0	0	0	0
KM018809.1.1529	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0
FQ659558.1.1354	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0
GQ245901.1.1253	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0
LN561158.1.1314	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
KF786506.1.1353	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
KJ754682.1.1267	1	0	2	0	0	4	0	0	0	2	0	1	0	0	7
HQ674039.1.1470	0	0	3	1	2	0	5	2	0	1	0	0	0	1	0
GU941023.1.1384	29	58	56	187	41	34	8	132	92	0	17	0	72	2	101
HQ673603.1.1499	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
CETV01054517.1.1395	1	0	1	0	2	0	8	4	0	0	0	0	0	1	1
EU491390.1.1500	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AB974099.1.1395	5	11	3	3	5	2	8	0	0	1	3	3	2	9	2
JN084219.1.1514	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HQ326280.1.1456	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HM591462.1.1499	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HM438571.1.1435	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
AB073567.1.1394	1	0	0	0	0	2	0	0	0	0	3	0	0	0	0
JX527565.1.1371	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0
FJ900345.1.1443	0	1	1	0	2	0	0	0	0	0	1	0	0	0	0
JQ612255.1.1517	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
GU437476.1.1505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AB533944.1.1481	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
DQ256087.1.1476	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0
JN430536.1.1387	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
HQ674034.1.1517	0	1	0	0	0	2	1	1	1	0	0	0	3	1	1
HQ190542.1.1502	0	1	0	0	1	0	1	0	0	6	2	0	0	4	0
FR684446.1.1428	1	2	0	0	0	0	1	0	0	1	0	2	0	0	0
JQ218762.1.1488	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
JF117186.1.1312	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0
KC554267.1.1514	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
HM438059.1.1487	2	0	4	0	1	0	1	1	0	0	2	0	3	4	8
FM210339.1.1402	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
JN868755.1.1481	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FJ984533.1.1460	0	0	1	0	0	1	0	2	0	2	1	2	0	0	1
KM051703.1.1473	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0
KF616632.1.1491	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0
JF769547.1.1463	0	0	0	0	0	0	0	0	0	0	1	1	5	0	1
HE575987.1.1497	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
EU799068.1.1506	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JX441538.1.1420	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0
GU234892.1.1393	2	1	0	3	2	1	1	1	4	2	0	0	2	2	1
HM798886.1.1459	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0
JQ221919.1.916	1	1	0	0	2	1	3	1	3	0	2	2	1	1	0
DQ269078.1.1351	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JN486529.1.1415	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
GU451383.1.1244	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
JN427753.1.1371	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
HM037176.1.1463	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
KF954233.1.1442	9	18	13	5	5	6	4	3	2	6	3	20	22	6	4
FR853419.1.1451	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0
JX222891.1.1447	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
JX280249.1.1470	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
HM161878.1.1423	0	0	23	4	12	0	0	1	5	9	0	0	0	19	2
HM799062.1.1404	8	3	0	0	0	12	9	4	0	2	4	2	11	0	9
JX240958.1.1503	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0
KU561614.1.1493	0	0	1	0	0	0	0	0	1	2	1	0	1	0	1
HM128354.1.1455	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JN119133.1.1382	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0
FR744601.1.1463	0	0	1	0	0	0	0	3	2	0	0	0	0	0	0
EU135268.1.1385	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1
GQ337130.1.1436	32	47	8	2	9	26	21	5	12	5	7	42	25	15	20
EU795194.26094.27645	3	5	0	1	0	4	25	1	0	0	6	6	3	1	3
KJ589842.1.1316	1	3	0	0	0	0	1	0	0	0	0	0	0	1	1
FM206319.1.1289	0	0	1	8	0	0	0	0	0	28	0	0	0	0	0
HQ672881.1.1504	0	0	0	0	1	0	0	1	7	0	1	0	0	0	1
GQ488010.1.1499	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GU061040.1.1384	1	0	0	0	0	1	0	0	0	0	1	1	1	0	0
DQ009478.1.1823	2	0	3	2	3	0	0	1	4	1	1	0	1	2	0
JQ800688.1.1484	0	0	0	0	0	1	0	4	0	0	3	0	0	0	0
FM242216.1.1484	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EU308326.1.1478	0	0	1	0	0	1	0	1	0	1	3	0	0	0	1
FR684707.1.1446	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KJ590638.1.1463	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
GU118319.1.1463	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FJ746271.1.1501	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
GQ349194.1.1332	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1
HQ120981.1.1456	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
HM333626.1.1345	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
HQ163761.1.1367	0	0	5	0	22	0	0	0	2	0	0	0	0	0	0
AB035555.1.1503	0	0	5	2	5	0	0	0	0	0	0	0	0	0	0
FN667049.1.1489	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
JN437431.1.1332	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0
HO383127.2.1252	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0
HQ166787.1.1302	0	2	1	0	0	3	0	3	0	0	0	0	0	0	0
AB694327.1.1485	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
KT361250.1.1415	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
GU584506.1.1397	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
DQ396211.1.1551	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
KC252883.1.1330	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ674237.1.1523	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
GQ379614.1.1202	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0
JN695915.1.1543	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GQ347141.1.1374	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
GQ133236.1.1396	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
FJ952826.1.1377	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
EF574657.1.1483	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HE803861.1.1376	0	0	0	3	0	0	0	1	2	3	0	0	0	3	1
FR683981.1.1460	0	0	0	0	0	0	16	0	0	0	0	0	0	0	1
JQ222370.1.913	0	1	0	0	0	2	0	0	0	0	0	3	0	1	0
JQ013360.1.1425	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JQ183095.1.1501	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
AUBG01000003.612.2118	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0
KC477432.1.1373	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0
CEPV01056825.1.948	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
JF163668.1.1348	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1
KF758681.1.1515	0	0	30	1	19	3	20	7	5	5	15	1	16	9	11
AB597548.1.1542	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0
FM242247.1.1496	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
HK697602.1.1485	0	0	1	0	1	0	0	4	0	1	0	0	12	0	1
JX206625.1.1496	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HQ674580.1.1507	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0
GQ349918.1.1373	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
AY114322.1.1409	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GU940763.1.1281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
HQ672571.1.1452	10	16	4	4	0	9	6	3	2	1	1	9	3	7	1
CP000031.261910.263364	1	0	0	0	0	0	0	1	0	1	0	2	0	0	0
HQ673214.1.1515	0	1	0	0	1	0	2	0	1	0	1	0	0	0	0
KP183033.1.1514	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0
AZHS01000013.11871.13367	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
KC169794.1.1494	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0
KJ590699.1.1500	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
GU118636.1.1386	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0
DI107239.1.1357	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0
FR684643.1.1424	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
JQ800847.1.1452	4	4	1	5	0	7	0	2	1	7	5	3	0	4	2
GU061890.1.1424	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0
GU940985.1.1301	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
JN178766.1.1544	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ673618.1.1427	2	1	1	5	3	0	0	1	2	2	0	2	3	2	0
EF444715.1.1200	0	0	1	0	0	0	0	2	1	1	14	0	0	9	4
FJ905651.1.1391	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2
GU061613.1.1497	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0
GQ347162.1.1368	6	3	2	5	2	4	3	1	7	10	8	7	16	5	2
GQ274164.1.1455	0	0	0	0	0	2	0	0	0	0	1	0	2	0	0
JX898087.1.1531	0	1	1	4	0	0	0	1	6	0	1	0	2	0	2
AB193954.1.1469	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ163392.1.1388	0	0	3	0	7	0	0	0	3	0	1	1	0	0	0
DQ154802.1.1490	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0
FJ900338.1.1442	0	1	1	1	5	0	0	0	0	0	0	2	1	0	0
FJ957448.1.1496	2	0	1	7	0	3	2	19	1	0	4	0	17	0	1
AACY023820409.144.1393	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
AM176866.1.1439	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LBIP01000035.25.1521	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
GQ274114.1.1519	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
GQ013278.1.1389	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
GQ358808.1.1477	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
EU491155.1.1481	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0
FJ959746.1.1393	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
GQ346844.1.1377	4	1	6	3	8	0	4	17	37	0	0	3	0	1	0
JX227180.1.1516	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FJ529346.1.1400	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ673484.1.1485	1	1	0	0	1	0	4	0	4	4	0	0	5	0	0
GU118834.1.1437	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
JF104400.1.1358	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
JF128946.1.1349	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
EU090238.29597.31269	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GQ167328.1.1355	1	0	0	1	0	3	0	3	2	1	7	2	0	2	0
EU048598.1.905	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0
JN488230.1.1473	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
FN822109.1.1333	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HQ856333.1.1472	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0
AJ567583.1.1488	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ674368.1.1489	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
JQ347379.1.1494	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GQ337305.1.1493	6	3	1	3	23	0	2	7	37	0	1	13	2	3	2
HQ161749.1.1418	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
HQ672459.1.1502	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
FR853632.1.1508	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0
AF384373.1.1494	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
EU802936.1.1504	0	0	0	0	1	0	0	0	0	2	0	0	0	0	1
KM051777.1.1483	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0
JQ917952.1.1421	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
JX526897.1.1360	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HM587905.1.1405	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0
HM127234.1.1385	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GU061039.1.1385	2	0	0	0	0	2	0	0	0	0	1	1	0	0	0
HM558218.1.1356	3	2	0	0	0	14	0	1	0	6	6	1	0	1	0
FN667037.1.1457	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ674207.1.1447	12	9	4	3	1	0	3	0	3	1	2	13	9	2	2
CEUC01125807.1.1329	0	0	4	0	5	0	0	0	3	2	1	0	0	0	0
HQ645170.1.1491	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
GQ347460.1.1384	2	1	0	0	1	0	0	0	0	0	1	0	0	0	0
JQ580375.1.1490	1	0	0	0	0	0	0	1	2	0	0	1	0	0	0
AM779569.1.1427	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HE985150.1.1427	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
HQ673398.1.1508	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
KM018341.1.1484	3	0	14	1	15	0	0	3	5	4	2	5	5	3	3
CERI01073462.6796.8218	1	1	0	0	0	0	0	0	0	0	0	0	1	0	2
JQ855601.1.1254	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HQ697779.1.1464	2	0	0	3	0	5	0	0	0	0	0	4	0	0	0
KT756666.1.1519	1	0	0	1	0	0	0	0	0	1	1	0	0	2	0
AY661995.1.1531	0	0	2	6	2	0	0	0	0	6	0	0	0	0	0
HM273920.1.1355	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GU230385.1.1498	0	1	0	0	2	1	0	0	1	0	1	0	0	0	2
KJ589996.1.1508	0	1	4	0	6	1	0	0	1	0	0	0	0	0	0
JX441480.1.1449	6	1	11	15	13	3	0	0	3	1	2	7	0	0	6
JN935019.1.1326	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
JN868924.1.1506	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JQ218814.1.1495	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HQ178889.1.1452	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
HQ673832.1.1521	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
AB212804.1.1456	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
HQ674293.1.1495	0	0	1	0	0	0	0	0	1	0	1	0	1	4	0
GQ347351.1.1271	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JQ612203.1.1474	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
JQ425948.1.1492	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
FJ893959.1.1299	5	3	1	6	3	0	0	6	4	0	0	0	5	0	8
HQ673649.1.1502	0	1	0	0	3	0	2	0	0	0	0	1	1	0	0
JX647746.1.1445	0	0	0	3	0	0	11	0	4	65	0	0	1	58	0
AUTR01000013.113372.114887	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0
GQ232737.1.1386	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0
KP182992.1.1481	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
FM211709.1.1465	0	0	1	11	3	0	0	0	0	1	0	0	0	1	0
JN432950.1.1323	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KC294649.1.1432	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
JX227497.1.1514	0	1	1	0	1	1	0	0	1	1	1	0	0	0	0
JN868888.1.1484	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GQ011081.1.1340	1	0	0	0	0	0	0	0	1	0	0	1	10	0	0
KP174448.1.1520	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
JQ347317.1.1495	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
JN886925.1.1481	0	1	1	0	1	0	2	0	2	0	0	0	1	1	1
KJ589998.1.1415	0	0	0	4	1	0	0	1	0	0	0	0	0	0	0
JN868820.1.1481	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
KF271231.1.1423	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2
HM768684.1.1397	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GU294684.1.1460	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
GQ348002.1.1402	2	0	0	1	0	0	0	5	2	1	0	2	0	2	0
JX434190.1.1471	1	0	2	34	0	0	0	0	0	2	0	0	0	1	2
FJ873262.1.1413	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HQ672456.1.1497	1	4	0	1	2	0	1	0	0	0	0	0	1	0	1
HF912745.1.1473	1	1	0	0	0	1	1	0	0	0	1	0	3	0	0
AY493917.1.1483	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HM284442.1.1358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
KF286197.1.1318	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
HQ673686.1.1458	0	0	0	0	0	0	2	0	0	1	0	0	1	1	1
DQ234154.1.1513	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
JN442716.1.1332	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
HQ631954.1.1456	0	0	1	1	4	0	0	0	0	1	0	0	0	0	1
LIQB01000003.789521.791009	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JN825588.1.1383	0	0	0	0	0	2	2	0	0	1	0	0	2	0	0
GU553696.1.1421	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
AB974057.1.1450	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
DQ396125.1.1501	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GQ441215.1.1445	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
GU940999.1.1388	1	1	0	0	0	0	5	1	0	0	1	0	0	0	1
KP901123.1.1325	0	0	0	0	0	0	0	0	2	1	3	1	0	1	0
FJ403065.1.1481	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
KJ754674.1.1370	0	0	4	0	1	0	1	1	0	0	0	0	0	0	0
FJ952772.1.1362	17	11	170	50	125	14	63	156	105	27	129	9	58	131	136
GQ348051.1.1385	0	0	0	0	1	0	3	1	0	10	0	1	0	0	0
EU686594.16595.18105	0	3	0	0	4	0	1	0	0	0	0	0	0	0	0
GQ250612.1.1512	5	0	0	3	0	3	0	6	0	1	0	2	2	1	4
HQ672454.1.1516	5	1	1	1	5	1	14	0	1	2	7	1	5	2	3
EF574515.1.1503	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
JN166284.1.1497	0	0	1	0	1	0	1	0	0	0	0	0	0	0	1
FJ952787.1.1402	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0
HQ674118.1.1512	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
GU145487.1.1483	1	0	1	0	4	0	2	1	2	0	1	0	2	0	0
JN245779.1.1478	2	0	0	0	0	2	0	0	0	7	0	0	0	3	3
HM057620.1.1494	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
FM957461.1.1459	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
AACY023372270.147.1550	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FJ905699.1.1441	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1
GBEG01042063.31.1486	2	0	1	1	0	3	0	0	0	0	0	0	6	0	1
DQ860058.1.1447	1	0	0	2	0	0	0	3	1	1	1	0	0	0	0
FM865690.1.1447	1	2	1	2	0	0	0	0	0	0	0	0	0	0	1
EU791576.1.917	1	0	6	0	14	0	0	0	4	0	1	0	0	1	0
FM213003.1.1476	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0
FR683114.1.1498	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
FM209300.1.1516	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
EF019601.1.1384	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0
JX441498.1.1445	10	7	3	3	1	5	7	0	1	4	8	21	12	10	12
AB505049.1.1514	2	0	22	0	2	0	0	0	1	0	2	0	1	0	0
KP005062.1.1414	0	0	3	0	0	0	0	0	2	0	0	0	0	0	1
GU127396.1.925	3	1	0	0	1	0	2	0	0	2	1	1	4	1	2
KM820615.1.1501	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4
HQ672486.1.1447	3	1	2	1	8	1	7	0	0	1	3	10	3	2	0
HQ673356.1.1477	0	0	1	0	2	0	0	1	0	0	0	1	0	0	0
HE681227.1.1529	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0
HQ326382.1.1456	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
JX441387.1.1480	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
CEUW01078141.3.1240	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
HG423476.1.1461	2	0	4	0	4	0	0	0	1	1	0	1	0	0	1
FJ900503.1.1337	1	1	0	0	0	0	0	0	0	0	1	0	3	0	0
FN428774.1.1479	0	0	0	10	0	0	0	1	0	28	0	0	0	1	0
CP001842.3507.4983	0	0	0	0	0	0	8	0	0	0	0	0	0	0	3
