	TARA_149_MES_0.8_3.0	TARA_148_MES_0.8_3.0	TARA_138_MES_0.8_3.0	TARA_142_MES_0.8_3.0	TARA_137_MES_0.8_3.0	TARA_144_MES_0.8_3.0	TARA_097_MES_0.8_3.0	TARA_109_MES_0.8_3.0	TARA_110_MES_0.8_3.0	TARA_131_MES_0.8_3.0	TARA_112_MES_0.8_3.0	TARA_146_MES_0.8_3.0	TARA_098_MES_0.8_3.0	TARA_132_MES_0.8_3.0	TARA_078_MES_0.8_3.0
GU563783.1.1440	1	1	0	1	0	0	0	0	0	1	0	0	0	2	0
EF574753.1.1346	0	2	0	1	0	1	5	1	1	0	0	0	0	0	0
KC920969.1.1392	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0
HQ241777.1.1415	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
GQ348094.1.1391	0	0	2	27	1	1	0	19	25	2	2	4	1	3	0
EF092195.1.1294	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
AB680459.1.1465	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0
KJ475509.1.1443	0	12	16	4	14	3	0	1	0	4	0	0	0	6	0
AYPR01000038.52.1523	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0
GQ337103.1.1481	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0
JQ989788.1.1508	0	0	2	1	1	0	0	0	0	0	0	0	2	0	0
JQ196373.1.1381	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KJ589684.1.1500	0	0	2	0	1	0	0	2	1	0	0	0	0	3	3
AB519009.1.1495	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AB055787.1.1458	1	0	1	0	1	0	0	2	0	0	0	0	2	0	0
JN881629.1.1482	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
GQ263409.1.1437	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
GQ110572.1.1372	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0
HQ673103.1.1463	3	2	1	0	2	3	5	1	1	2	1	4	1	2	0
KF799062.1.1883	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
KJ026552.1.1483	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
GQ348131.1.1395	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0
AACY023937660.1.1380	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
HQ687833.1.1267	0	2	10	2	6	2	3	19	14	1	16	2	4	18	13
GQ347269.1.1248	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JN874088.1.1461	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0
JQ661177.1.2718	0	1	0	2	0	2	0	0	2	4	0	2	0	0	0
FR683763.1.1423	1	0	0	0	0	0	0	0	0	0	1	1	3	0	0
JN436736.1.1402	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CEUM01001982.2827.4360	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
HQ673735.1.1483	2	2	1	2	0	1	1	0	3	6	2	3	12	5	5
FJ959632.1.1409	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0
KC001541.1.1311	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0
JQ347328.1.1490	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DQ910155.1.971	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
JN525097.1.1402	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
KF286050.1.1392	0	0	0	1	0	0	0	0	0	1	1	0	0	1	1
GQ009450.1.1329	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
JF979319.1.1489	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GU362996.1.1416	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0
HQ871859.1.1352	0	0	0	0	0	1	0	0	0	0	0	1	1	1	1
GU179688.1.1345	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
JN874005.1.1488	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
JF809791.1.1419	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
AB476251.1.1450	2	0	0	0	0	0	0	0	0	0	0	0	5	0	0
JN032371.1.1395	0	1	0	0	0	2	0	0	0	4	0	0	0	0	0
GU108543.1.1289	2	2	0	1	16	0	10	41	15	41	8	0	0	5	2
AB694303.1.1516	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
KT952713.1.1452	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
