	TARA_100_DCM_0.22_3.0	TARA_102_DCM_0.22_3.0	TARA_109_DCM_0.22_3.0	TARA_110_DCM_0.22_3.0	TARA_111_DCM_0.22_3.0	TARA_112_DCM_0.22_3.0	TARA_122_DCM_0.22_3.0	TARA_128_DCM_0.22_3.0	TARA_132_DCM_0.22_3.0	TARA_133_DCM_0.22_3.0	TARA_137_DCM_0.22_3.0	TARA_138_DCM_0.22_3.0	TARA_142_DCM_0.22_3.0	TARA_150_DCM_0.22_3.0	TARA_151_DCM_0.22_3.0	TARA_058_DCM_0.22_3.0	TARA_064_DCM_0.22_3.0	TARA_065_DCM_0.22_3.0	TARA_066_DCM_0.22_3.0	TARA_068_DCM_0.22_3.0	TARA_072_DCM_0.22_3.0	TARA_076_DCM_0.22_3.0	TARA_078_DCM_0.22_3.0	TARA_082_DCM_0.22_3.0	TARA_085_DCM_0.22_3.0	TARA_093_DCM_0.22_3.0	TARA_098_DCM_0.22_3.0
JQ347414.1.1492	10	31	13	8	8	3	4	2	5	53	0	5	11	32	18	25	13	6	21	7	15	9	8	0	0	23	2
EU802563.1.1450	8	10	18	10	8	28	7	21	6	9	0	7	32	27	8	53	25	10	3	25	13	19	20	0	0	1	27
GU940846.1.1513	16	22	29	29	24	14	12	31	17	23	5	15	22	21	30	29	31	19	24	11	14	10	22	5	0	10	12
AACY020396101.1882.3388	98	79	0	24	121	86	102	0	143	0	2	264	75	61	20	27	70	39	19	34	179	37	36	0	0	0	159
AY664104.1.1218	31	5	13	16	37	25	31	19	23	2	10	48	47	32	17	23	33	25	26	13	35	13	19	2	0	3	19
GU234305.1.1334	0	0	0	0	0	0	0	0	0	0	5	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
FQ032828.26868.28381	20	32	34	53	11	5	10	58	11	22	0	9	65	38	17	19	23	41	31	23	8	4	9	0	0	8	3
EU237344.1.1311	18	11	39	20	40	31	12	37	12	11	0	15	18	19	4	39	32	3	1	27	8	23	22	0	0	0	37
JN547444.1.1442	17	11	21	16	13	40	16	18	16	9	1	18	25	18	2	35	55	6	0	18	11	26	23	0	0	0	29
EU803081.1.1252	31	13	18	29	25	29	23	24	13	5	19	24	20	24	18	37	34	41	22	19	30	16	20	2	2	1	34
EF571939.1.1526	18	20	7	44	43	37	37	21	40	46	0	41	33	22	34	33	47	66	42	16	58	15	16	0	0	1	51
GQ349089.1.1337	23	27	35	28	17	5	17	17	6	35	11	26	15	20	21	19	11	19	40	12	20	10	11	25	25	18	9
EU802420.1.1442	21	13	26	7	15	43	12	17	13	4	0	12	20	22	4	35	47	6	1	27	13	23	21	0	0	0	32
AY726967.1.1236	97	4	3	117	1	6	37	36	0	31	16	7	1	168	1	1	3	5	2	26	26	84	1	0	0	11	2
JX945367.1.1372	12	21	28	14	18	32	10	18	10	2	0	8	24	13	3	40	17	9	3	16	13	29	18	0	0	2	33
EF574411.1.1527	27	47	15	10	19	16	6	16	12	4	0	15	32	13	7	35	27	24	35	9	22	5	11	0	0	1	4
EU802707.1.1478	9	27	51	19	13	11	10	37	1	2	0	7	19	5	15	38	37	24	12	5	22	19	15	0	0	0	6
AY664234.1.1252	20	5	10	9	38	23	10	11	18	2	13	12	25	17	30	21	34	20	20	21	32	17	22	5	5	1	31
HQ672001.1.1446	5	2	5	6	1	0	4	9	6	7	0	3	0	3	5	0	5	4	8	46	0	4	3	392	266	1	6
EU801992.1.1230	16	30	21	21	13	10	10	23	8	21	1	12	18	23	28	24	28	26	30	15	19	15	12	15	11	9	8
EU802548.1.1445	21	15	30	13	23	37	12	26	4	9	0	11	22	13	10	33	23	4	2	16	6	15	11	0	0	0	34
AB193978.1.1441	7	0	0	6	10	8	16	16	28	0	1	9	136	13	13	12	131	122	29	26	29	27	43	0	0	0	7
EU802929.1.1358	15	34	26	22	23	9	12	34	5	28	0	17	10	19	22	29	20	38	30	15	16	7	17	4	1	13	8
HQ163158.1.1317	30	20	15	21	23	14	14	12	22	34	22	29	14	30	29	14	10	22	29	15	25	4	15	36	25	25	21
JQ224996.1.1347	4	0	0	4	0	0	2	11	48	1	0	43	12	8	91	1	10	16	21	45	16	17	109	0	0	0	1
EU801696.1.1459	3	36	53	29	11	2	0	10	0	10	0	2	6	5	9	25	8	11	8	1	2	3	7	0	0	23	0
FJ744916.1.1319	21	38	13	22	25	9	10	17	12	47	1	18	9	24	24	23	14	18	30	15	17	11	13	20	18	27	11
EU802541.1.1287	12	18	37	8	17	35	13	19	10	3	1	19	20	15	5	32	33	5	2	21	9	23	25	1	0	0	29
EU803052.1.1425	8	5	17	9	11	34	16	19	10	1	0	7	24	4	0	41	52	7	0	7	9	25	12	0	0	1	31
GQ377772.1.1269	2	12	7	2	0	1	0	2	1	18	1	1	15	21	5	22	33	64	6	36	1	4	6	0	0	11	0
L10934.1.1298	14	29	20	14	20	2	14	11	7	20	0	12	11	15	28	15	16	25	36	17	16	4	27	40	50	20	6
AY664135.1.1215	21	7	28	17	25	42	17	22	14	11	0	18	20	23	2	44	22	1	1	29	13	25	20	0	0	0	33
JN832930.1.1413	24	23	29	27	29	16	17	15	31	22	16	21	13	22	24	19	32	12	38	17	19	7	11	0	0	34	10
EF573597.1.1440	10	12	15	10	17	11	9	22	7	21	1	12	21	10	15	45	21	25	12	10	24	8	14	4	0	8	15
AB193965.1.1440	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ163743.1.1324	21	29	27	23	9	6	7	10	9	43	0	17	6	17	29	15	15	19	47	12	10	5	13	4	3	25	2
EU802874.1.1450	17	5	21	7	14	28	6	22	15	5	0	14	24	4	5	55	31	9	0	5	16	17	13	0	0	0	30
GQ337263.1.1438	37	8	10	4	28	15	28	12	19	5	62	34	16	12	21	5	16	16	8	9	24	8	12	2	0	2	22
EF574990.1.1439	8	1	32	13	11	39	8	23	5	4	0	4	21	8	1	50	45	3	2	9	6	22	16	1	0	0	39
AY664211.1.1287	11	9	10	10	19	43	13	13	13	4	0	9	20	14	2	45	35	3	0	26	10	24	8	0	0	0	34
EF571982.1.1487	10	33	31	40	8	9	5	39	2	3	0	2	16	19	24	20	21	16	14	6	17	4	15	0	0	1	4
EU805091.1.1526	12	11	12	25	7	24	19	27	43	18	2	30	45	19	15	23	25	37	8	3	31	140	19	0	0	0	25
EU800927.1.1359	15	25	13	17	16	9	8	15	8	24	0	11	12	18	10	18	24	32	18	12	13	6	19	3	3	23	13
GU119298.1.1407	0	0	0	0	0	0	0	0	0	0	0	0	18	3	1	14	39	68	0	1	0	0	2	0	0	0	0
EU800517.1.1373	13	40	37	18	7	0	6	17	2	61	0	11	4	15	17	13	8	11	31	13	8	0	13	19	11	29	2
